"('2022-04-06', 'Wednesday')","('2022-04-07', 'Thursday')","('2022-04-08', 'Friday')","('2023-04-06', 'Thursday')","('2023-04-07', 'Friday')","('2024-04-01', 'Monday')","('2024-04-02', 'Tuesday')","('2024-04-03', 'Wednesday')",,,,,,,,,,,,
"('2021-04-13', 'Tuesday')","('2021-04-14', 'Wednesday')","('2021-04-15', 'Thursday')","('2021-04-16', 'Friday')","('2022-04-11', 'Monday')","('2022-04-12', 'Tuesday')","('2022-04-13', 'Wednesday')","('2022-04-14', 'Thursday')","('2022-04-15', 'Friday')","('2023-04-10', 'Monday')","('2023-04-11', 'Tuesday')","('2023-04-12', 'Wednesday')","('2023-04-13', 'Thursday')","('2023-04-14', 'Friday')","('2024-04-08', 'Monday')","('2024-04-09', 'Tuesday')","('2024-04-10', 'Wednesday')","('2024-04-11', 'Thursday')","('2024-04-12', 'Friday')",
"('2021-04-19', 'Monday')","('2021-04-20', 'Tuesday')","('2021-04-21', 'Wednesday')","('2021-04-22', 'Thursday')","('2021-04-23', 'Friday')","('2022-04-18', 'Monday')","('2022-04-19', 'Tuesday')","('2022-04-20', 'Wednesday')","('2022-04-21', 'Thursday')","('2022-04-22', 'Friday')","('2023-04-17', 'Monday')","('2023-04-18', 'Tuesday')","('2023-04-19', 'Wednesday')","('2023-04-20', 'Thursday')","('2023-04-21', 'Friday')","('2024-04-15', 'Monday')","('2024-04-16', 'Tuesday')","('2024-04-17', 'Wednesday')","('2024-04-18', 'Thursday')","('2024-04-19', 'Friday')"
"('2021-04-26', 'Monday')","('2021-04-27', 'Tuesday')","('2021-04-28', 'Wednesday')","('2021-04-29', 'Thursday')","('2022-04-25', 'Monday')","('2022-04-26', 'Tuesday')","('2022-04-27', 'Wednesday')","('2022-04-28', 'Thursday')","('2022-04-29', 'Friday')","('2023-04-24', 'Monday')","('2023-04-25', 'Tuesday')","('2023-04-26', 'Wednesday')","('2023-04-27', 'Thursday')","('2023-04-28', 'Friday')","('2024-04-22', 'Monday')","('2024-04-23', 'Tuesday')","('2024-04-24', 'Wednesday')","('2024-04-25', 'Thursday')","('2024-04-26', 'Friday')",
"('2021-05-03', 'Monday')","('2021-05-04', 'Tuesday')","('2021-05-05', 'Wednesday')","('2021-05-06', 'Thursday')","('2021-05-07', 'Friday')","('2022-05-03', 'Tuesday')","('2022-05-04', 'Wednesday')","('2022-05-05', 'Thursday')","('2022-05-06', 'Friday')","('2023-05-02', 'Tuesday')","('2023-05-03', 'Wednesday')","('2023-05-04', 'Thursday')","('2023-05-05', 'Friday')","('2024-04-29', 'Monday')","('2024-04-30', 'Tuesday')","('2024-05-02', 'Thursday')","('2024-05-03', 'Friday')",,,
"('2021-05-10', 'Monday')","('2021-05-11', 'Tuesday')","('2021-05-12', 'Wednesday')","('2021-05-13', 'Thursday')","('2021-05-14', 'Friday')","('2022-05-09', 'Monday')","('2022-05-10', 'Tuesday')","('2022-05-11', 'Wednesday')","('2022-05-12', 'Thursday')","('2022-05-13', 'Friday')","('2023-05-08', 'Monday')","('2023-05-09', 'Tuesday')","('2023-05-10', 'Wednesday')","('2023-05-11', 'Thursday')","('2023-05-12', 'Friday')","('2024-05-06', 'Monday')","('2024-05-07', 'Tuesday')","('2024-05-08', 'Wednesday')","('2024-05-09', 'Thursday')","('2024-05-10', 'Friday')"
"('2021-05-17', 'Monday')","('2021-05-18', 'Tuesday')","('2021-05-19', 'Wednesday')","('2021-05-20', 'Thursday')","('2021-05-21', 'Friday')","('2022-05-16', 'Monday')","('2022-05-17', 'Tuesday')","('2022-05-18', 'Wednesday')","('2022-05-19', 'Thursday')","('2022-05-20', 'Friday')","('2023-05-15', 'Monday')","('2023-05-16', 'Tuesday')","('2023-05-17', 'Wednesday')","('2023-05-18', 'Thursday')","('2023-05-19', 'Friday')","('2024-05-13', 'Monday')","('2024-05-14', 'Tuesday')","('2024-05-15', 'Wednesday')","('2024-05-16', 'Thursday')","('2024-05-17', 'Friday')"
"('2021-05-24', 'Monday')","('2021-05-25', 'Tuesday')","('2021-05-26', 'Wednesday')","('2021-05-27', 'Thursday')","('2021-05-28', 'Friday')","('2022-05-23', 'Monday')","('2022-05-24', 'Tuesday')","('2022-05-25', 'Wednesday')","('2022-05-26', 'Thursday')","('2022-05-27', 'Friday')","('2023-05-22', 'Monday')","('2023-05-23', 'Tuesday')","('2023-05-24', 'Wednesday')","('2023-05-25', 'Thursday')","('2023-05-26', 'Friday')","('2024-05-20', 'Monday')","('2024-05-21', 'Tuesday')","('2024-05-22', 'Wednesday')","('2024-05-23', 'Thursday')","('2024-05-24', 'Friday')"
"('2021-05-31', 'Monday')","('2021-06-01', 'Tuesday')","('2021-06-02', 'Wednesday')","('2021-06-03', 'Thursday')","('2021-06-04', 'Friday')","('2022-05-30', 'Monday')","('2022-05-31', 'Tuesday')","('2022-06-01', 'Wednesday')","('2022-06-02', 'Thursday')","('2023-05-29', 'Monday')","('2023-05-30', 'Tuesday')","('2023-05-31', 'Wednesday')","('2023-06-01', 'Thursday')","('2023-06-02', 'Friday')","('2024-05-27', 'Monday')","('2024-05-28', 'Tuesday')","('2024-05-29', 'Wednesday')","('2024-05-30', 'Thursday')","('2024-05-31', 'Friday')",
"('2021-06-07', 'Monday')","('2021-06-08', 'Tuesday')","('2021-06-09', 'Wednesday')","('2021-06-10', 'Thursday')","('2021-06-11', 'Friday')","('2022-06-06', 'Monday')","('2022-06-07', 'Tuesday')","('2022-06-08', 'Wednesday')","('2022-06-09', 'Thursday')","('2022-06-10', 'Friday')","('2023-06-05', 'Monday')","('2023-06-06', 'Tuesday')","('2023-06-07', 'Wednesday')","('2023-06-08', 'Thursday')","('2023-06-09', 'Friday')","('2024-06-03', 'Monday')","('2024-06-04', 'Tuesday')","('2024-06-05', 'Wednesday')","('2024-06-06', 'Thursday')","('2024-06-07', 'Friday')"
