date,volume,open,high,low,close
2021-09-15,3521000,21.35,21.9,21.35,21.6
2021-09-16,3402000,21.85,22.15,20.8,20.9
2021-09-17,2423000,20.8,21.5,20.3,20.4
2021-09-22,2593000,19.3,20.15,19.0,19.4
2021-09-23,1836000,20.0,20.2,19.35,19.35
2021-09-24,1842000,19.6,19.9,19.25,19.25
2021-09-27,1093000,19.7,19.7,19.15,19.3
2021-09-28,849000,19.4,19.5,18.95,18.95
2021-09-29,1393000,18.7,19.4,18.5,18.8
2021-09-30,1905000,19.2,19.65,19.0,19.6
2021-10-01,2038000,19.35,19.4,18.6,18.7
2021-10-04,2504000,19.0,19.05,16.85,16.85
2021-10-05,2143000,16.6,17.3,16.0,17.3
2021-10-06,1401000,17.8,17.8,16.35,16.55
2021-10-07,1524000,16.8,17.05,16.45,16.75
2021-10-08,1743000,17.05,17.3,16.3,16.6
2021-10-12,1297000,16.6,17.05,16.1,16.2
2021-10-13,1479000,16.45,16.5,15.35,15.6
2021-10-14,1195000,16.0,16.3,15.65,16.0
2021-10-15,845000,16.4,16.5,15.95,16.2
2021-10-18,1190000,16.4,16.7,15.7,15.95
2021-10-19,1260000,16.2,16.8,16.0,16.5
2021-10-20,1157000,16.55,16.8,16.3,16.3
2021-10-21,6546000,16.65,17.9,16.4,17.9
2021-10-22,5131000,17.35,17.7,16.35,16.35
2021-10-25,1100000,16.4,16.85,16.25,16.4
2021-10-26,1008000,16.75,16.9,16.25,16.3
2021-10-27,773000,16.55,16.55,15.95,16.2
2021-10-28,923000,16.05,16.35,15.95,16.05
2021-10-29,946000,16.25,16.4,15.85,16.0
2021-11-01,847000,16.3,16.3,15.85,15.9
2021-11-02,1011000,16.0,16.3,15.8,15.8
2021-11-03,1768000,15.8,16.65,15.8,16.3
2021-11-04,1241000,16.5,16.5,16.0,16.05
2021-11-05,537000,16.1,16.15,15.9,15.95
2021-11-08,5087000,16.3,17.5,16.3,17.5
2021-11-09,7035000,17.9,17.9,16.9,17.35
2021-11-10,1018000,17.35,17.4,17.05,17.05
2021-11-11,4125000,17.25,18.2,17.15,17.35
2021-11-12,2101000,17.5,17.75,17.25,17.45
2021-11-15,1426000,17.85,17.85,16.9,17.0
2021-11-16,1039000,17.05,17.45,16.8,16.85
2021-11-17,795000,17.0,17.3,16.8,16.95
2021-11-18,966000,16.95,17.2,16.7,16.75
2021-11-19,801000,16.85,16.9,16.35,16.4
2021-11-22,569000,16.5,16.6,16.2,16.45
2021-11-23,1521000,16.6,17.35,16.6,16.6
2021-11-24,3488000,16.9,17.75,16.8,17.3
2021-11-25,1907000,17.65,17.85,17.15,17.3
2021-11-26,1319000,17.4,17.4,16.65,16.8
2021-11-29,835000,16.25,16.6,16.05,16.4
2021-11-30,875000,16.55,16.75,16.15,16.3
2021-12-01,505000,16.2,16.45,16.2,16.4
2021-12-02,791000,16.4,16.55,16.3,16.4
2021-12-03,603000,16.5,16.8,16.4,16.4
2021-12-06,478000,16.5,16.7,16.35,16.5
2021-12-07,893000,16.7,16.95,16.5,16.7
2021-12-08,2433000,17.7,17.8,16.95,16.95
2021-12-09,786000,17.2,17.25,16.8,16.9
2021-12-10,651000,17.0,17.3,16.85,16.95
2021-12-13,6669000,17.1,18.6,17.05,18.5
2021-12-14,4676000,18.45,19.1,17.9,19.1
2021-12-15,11429000,19.0,20.35,18.7,19.35
2021-12-16,4644000,19.4,19.85,18.8,19.5
2021-12-17,3947000,19.3,20.35,19.25,19.3
2021-12-20,2300000,19.3,19.65,18.9,18.9
2021-12-21,1549000,19.1,19.15,18.45,19.05
2021-12-22,1167000,19.0,19.1,18.6,18.65
2021-12-23,967000,18.8,18.9,18.45,18.5
2021-12-24,1251000,18.7,18.75,18.05,18.15
2021-12-27,884000,18.4,18.5,17.9,18.2
2021-12-28,531000,18.3,18.4,18.05,18.1
2021-12-29,713000,18.2,18.55,18.15,18.45
2021-12-30,1446000,18.6,18.6,17.8,17.85
2022-01-03,742000,17.9,17.9,17.5,17.5
2022-01-04,858000,17.55,17.6,17.15,17.3
2022-01-05,950000,17.45,17.9,17.35,17.4
2022-01-06,472000,17.5,17.7,17.4,17.6
2022-01-07,859000,17.6,17.6,16.85,17.1
2022-01-10,1544000,16.85,17.1,16.35,16.5
2022-01-11,1167000,16.8,16.8,16.05,16.05
2022-01-12,873000,16.1,16.3,15.85,15.9
2022-01-13,1513000,16.0,16.6,15.9,16.35
2022-01-14,859000,16.35,16.4,15.9,16.15
2022-01-17,381000,16.2,16.25,16.0,16.05
2022-01-18,541000,16.1,16.4,16.0,16.05
2022-01-19,373000,15.95,16.0,15.85,15.9
2022-01-20,736000,16.1,16.3,15.95,16.15
2022-01-21,1147000,16.2,16.55,15.95,16.05
2022-01-24,567000,16.15,16.15,15.6,15.9
2022-01-25,449000,15.9,16.15,15.7,15.7
2022-01-26,359000,15.85,15.95,15.6,15.75
2022-02-07,1260000,16.05,17.05,16.0,16.8
2022-02-08,654000,16.85,17.05,16.65,16.95
2022-02-09,571000,17.2,17.3,16.8,16.95
2022-02-10,470000,17.05,17.1,16.7,16.8
2022-02-11,428000,16.6,16.95,16.6,16.7
2022-02-14,535000,16.5,16.5,15.9,16.1
2022-02-15,367000,16.1,16.3,16.05,16.05
2022-02-16,409000,16.3,16.35,16.05,16.1
2022-02-17,322000,16.1,16.3,16.0,16.05
2022-02-18,369000,16.1,16.3,16.0,16.3
2022-02-21,3011000,16.25,17.6,16.25,17.3
2022-02-22,1551000,17.45,17.6,16.55,16.8
2022-02-23,1576000,16.95,17.7,16.95,16.95
2022-02-24,960000,16.85,17.0,16.5,16.6
2022-02-25,1146000,16.95,17.3,16.75,17.15
2022-03-01,2326000,17.6,18.25,17.4,17.5
2022-03-02,1622000,17.65,17.95,17.3,17.55
2022-03-03,865000,17.9,17.9,17.3,17.3
2022-03-04,2588000,17.4,18.15,17.35,17.55
2022-03-07,3077000,17.8,18.15,17.25,17.7
2022-03-08,5271000,18.5,18.95,17.25,17.25
2022-03-09,1452000,17.9,17.9,17.35,17.75
2022-03-10,1678000,18.1,18.15,17.55,17.7
2022-03-11,1198000,17.8,18.1,17.65,17.75
2022-03-14,3646000,18.05,18.85,17.75,18.45
2022-03-15,5268000,18.6,19.3,17.85,17.85
2022-03-16,1378000,18.3,18.3,17.6,17.8
2022-03-17,1014000,18.1,18.25,17.8,17.85
